순번,영화명,네이버URL,이미지URL,연도,감독,출연,평점
0,아바타,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62266,https://ssl.pstatic.net/imgmovie/mdi/mit110/0622/62266_P115_110943.jpg,2009,['제임스 카메론'],"['샘 워싱턴', '조 샐다나', '시고니 위버', '스티븐 랭']",9.08
1,도둑들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=78726,https://ssl.pstatic.net/imgmovie/mdi/mit110/0787/78726_P17_143306.jpg,2012,['최동훈'],"['김윤석', '김혜수', '이정재', '전지현', '임달화', '김해숙', '오달수', '김수현', '이신제', '증국상']",7.65
2,암살,https://movie.naver.com/movie/bi/mi/basic.nhn?code=121048,https://ssl.pstatic.net/imgmovie/mdi/mit110/1210/121048_P36_095347.jpg,2015,['최동훈'],"['전지현', '이정재', '하정우']",8.98
3,어벤져스: 인피니티 워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136315,https://ssl.pstatic.net/imgmovie/mdi/mit110/1363/136315_P16_142450.jpg,2018,"['앤서니 루소', '조 루소']","['크리스 프랫', '조 샐다나', '브래들리 쿠퍼', '빈 디젤', '조슈 브롤린', '엘리자베스 올슨', '베네딕트 컴버배치', '스칼릿 조핸슨', '톰 홀랜드', '로버트 다우니 주니어', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '톰 히들스턴', '폴 베타니', '돈 치들', '채드윅 보스만', '데이브 바티스타', '안소니 마키']",8.97
4,겨울왕국,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100931,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100931_P98_151621.jpg,2013,"['크리스 벅', '제니퍼 리']","['크리스틴 벨', '이디나 멘젤']",9.13
5,백두산,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187940,https://ssl.pstatic.net/imgmovie/mdi/mit110/1879/187940_P47_164605.jpg,2019,"['이해준', '김병서']","['이병헌', '하정우', '마동석', '전혜진', '수지']",5.74
6,써니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76016,https://ssl.pstatic.net/imgmovie/mdi/mit110/0760/76016_P11_175820.jpg,2011,['강형철'],"['유호정', '심은경', '강소라', '고수희', '김민영', '홍진희', '박진주', '이연경', '남보라', '김보미', '민효린']",9.12
8,베를린,https://movie.naver.com/movie/bi/mi/basic.nhn?code=89218,https://ssl.pstatic.net/imgmovie/mdi/mit110/0892/89218_P38_102226.jpg,2012,['류승완'],"['하정우', '한석규', '류승범', '전지현', '이경영']",7.84
9,마스터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=145162,https://ssl.pstatic.net/imgmovie/mdi/mit110/1451/145162_P45_131834.jpg,2016,['조의석'],"['이병헌', '강동원', '김우빈', '엄지원', '오달수', '진경']",8.11
10,어벤져스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72363,https://ssl.pstatic.net/imgmovie/mdi/mit110/0723/72363_P05_171517.jpg,2012,['조스 웨던'],"['로버트 다우니 주니어', '스칼릿 조핸슨', '크리스 헴스워스', '크리스 에반스', '마크 러팔로', '제레미 레너', '사무엘 L. 잭슨', '톰 히들스턴']",8.80
11,럭키,https://movie.naver.com/movie/bi/mi/basic.nhn?code=187415,https://ssl.pstatic.net/imgmovie/mdi/mit110/1874/187415_P01_135801.jpg,2018,['조정란'],"['신용우', '이장원', '조현정', '최낙윤']",10.00
11,럭키,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140695,https://ssl.pstatic.net/imgmovie/mdi/mit110/1406/140695_P16_102353.jpg,2015,['이계벽'],"['유해진', '이준', '조윤희', '임지연']",8.46
12,아저씨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=71509,https://ssl.pstatic.net/imgmovie/mdi/mit110/0715/71509_P16_175605.jpg,2010,['이정범'],"['원빈', '김새론']",9.25
13,캡틴 마블,https://movie.naver.com/movie/bi/mi/basic.nhn?code=132623,https://ssl.pstatic.net/imgmovie/mdi/mit110/1326/132623_P22_133853.jpg,2019,"['애너 보든', '라이언 플렉']","['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨', '주드 로']",6.75
14,숨바꼭질,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102824,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102824_P27_152515.JPG,2013,['허정'],"['손현주', '문정희', '전미선']",6.74
15,감시자들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=98146,https://ssl.pstatic.net/imgmovie/mdi/mit110/0981/98146_P43_181055.jpg,2013,"['조의석', '김병서']","['설경구', '정우성', '한효주']",7.76
16,2012,https://movie.naver.com/movie/bi/mi/basic.nhn?code=49727,https://ssl.pstatic.net/imgmovie/mdi/mit110/0497/49727_P60_110128.jpg,2009,['롤랜드 에머리히'],"['존 쿠삭', '아만다 피트', '치웨텔 에지오포', '탠디 뉴튼', '올리버 플랫']",7.60
17,더 킹,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144314,https://ssl.pstatic.net/imgmovie/mdi/mit110/1443/144314_P99_105941.jpg,2016,['한재림'],"['조인성', '정우성', '배성우', '김아중', '류준열']",8.09
19,타워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83250,https://ssl.pstatic.net/imgmovie/mdi/mit110/0832/83250_P81_104827.jpg,2012,['김지훈'],"['설경구', '손예진', '김상경']",8.02
20,추격자,https://movie.naver.com/movie/bi/mi/basic.nhn?code=68695,https://ssl.pstatic.net/imgmovie/mdi/mit110/0686/F8695-00.jpg,2008,['나홍진'],"['김윤석', '하정우']",9.09
21,주토피아,https://movie.naver.com/movie/bi/mi/basic.nhn?code=130850,https://ssl.pstatic.net/imgmovie/mdi/mit110/1308/130850_P23_141447.jpg,2016,"['바이론 하워드', '리치 무어']","['지니퍼 굿윈', '제이슨 베이트먼', '샤키라', '알란 터딕', '이드리스 엘바', 'J.K. 시몬스']",9.36
22,신세계,https://movie.naver.com/movie/bi/mi/basic.nhn?code=91031,https://ssl.pstatic.net/imgmovie/mdi/mit110/0910/91031_P53_103806.jpg,2012,['박훈정'],"['이정재', '최민식', '황정민']",8.94
23,아가씨,https://movie.naver.com/movie/bi/mi/basic.nhn?code=123519,https://ssl.pstatic.net/imgmovie/mdi/mit110/1235/123519_P13_153205.jpg,2016,['박찬욱'],"['김민희', '김태리', '하정우', '조진웅']",7.16
24,다크 나이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62586,https://ssl.pstatic.net/imgmovie/mdi/mit110/0625/62586_P148_102252.jpg,2008,['크리스토퍼 놀란'],"['크리스찬 베일', '히스 레저', '아론 에크하트']",9.34
25,미이라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=120160,https://ssl.pstatic.net/imgmovie/mdi/mit110/1201/120160_P31_100857.jpg,2017,['알렉스 커츠만'],"['톰 크루즈', '소피아 부텔라', '애나벨 월리스']",7.24
26,인턴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118917,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118917_P12_152006.jpg,2015,['낸시 마이어스'],"['로버트 드 니로', '앤 해서웨이']",9.02
27,스파이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=118950,https://ssl.pstatic.net/imgmovie/mdi/mit110/1189/118950_P23_140516.jpg,2015,['폴 페이그'],"['제이슨 스타뎀', '로즈 번', '멜리사 맥카시', '앨리슨 제니', '주드 로', '피터 세라피노윅', '미란다 하트']",8.82
27,스파이,https://movie.naver.com/movie/bi/mi/basic.nhn?code=82080,https://ssl.pstatic.net/imgmovie/mdi/mit110/0820/82080_P42_170643.jpg,2013,['이승준'],"['설경구', '문소리', '다니엘 헤니']",6.94
28,돈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163608,https://ssl.pstatic.net/imgmovie/mdi/mit110/1636/163608_P43_141047.jpg,2018,['박누리'],"['류준열', '유지태', '조우진']",7.42
