,0,1,2,3,4,5,6,7
0,0,명량,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93756,https://ssl.pstatic.net/imgmovie/mdi/mit110/0937/93756_P93_115513.jpg,2014,['김한민'],"['최민식', '류승룡', '조진웅']",8.44
1,1,극한직업,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167651,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167651_P106_141030.jpg,2018,['이병헌'],"['류승룡', '이하늬', '진선규', '이동휘', '공명']",8.51
2,2,신과함께-죄와 벌,https://movie.naver.com/movie/bi/mi/basic.nhn?code=85579,https://ssl.pstatic.net/imgmovie/mdi/mit110/0855/85579_P158_140854.jpg,2017,['김용화'],"['하정우', '차태현', '주지훈', '김향기', '김동욱', '마동석']",7.83
3,3,국제시장,https://movie.naver.com/movie/bi/mi/basic.nhn?code=102875,https://ssl.pstatic.net/imgmovie/mdi/mit110/1028/102875_P42_100733.jpg,2014,['윤제균'],"['황정민', '김윤진', '오달수', '정진영']",9.02
4,4,어벤져스: 엔드게임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136900,https://ssl.pstatic.net/imgmovie/mdi/mit110/1369/136900_P57_104126.jpg,2019,"['앤서니 루소', '조 루소']","['로버트 다우니 주니어', '크리스 에반스', '크리스 헴스워스', '마크 러팔로', '스칼릿 조핸슨', '제레미 레너', '돈 치들', '폴 러드', '브리 라슨', '카렌 길런', '브래들리 쿠퍼', '조슈 브롤린']",9.38
5,5,겨울왕국 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=136873,https://ssl.pstatic.net/imgmovie/mdi/mit110/1368/136873_P18_100537.jpg,2019,"['크리스 벅', '제니퍼 리']","['크리스틴 벨', '이디나 멘젤']",8.69
6,7,베테랑,https://movie.naver.com/movie/bi/mi/basic.nhn?code=115977,https://ssl.pstatic.net/imgmovie/mdi/mit110/1159/115977_P11_102909.jpg,2015,['류승완'],"['황정민', '유아인', '유해진', '오달수']",9.01
7,9,7번방의 선물,https://movie.naver.com/movie/bi/mi/basic.nhn?code=94775,https://ssl.pstatic.net/imgmovie/mdi/mit110/0947/94775_P00_102022.jpg,2012,['이환경'],"['류승룡', '박신혜', '갈소원', '오달수', '박원상', '김정태', '정만식', '김기천']",8.83
8,11,범죄도시2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=192608,https://ssl.pstatic.net/imgmovie/mdi/mit110/1926/192608_P62_104337.jpg,2022,['이상용'],"['마동석', '손석구', '최귀화']",9.30
9,12,알라딘,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163788,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163788_P18_105943.jpg,2019,['가이 리치'],"['메나 마수드', '윌 스미스', '나오미 스콧']",9.38
10,13,"광해, 왕이 된 남자",https://movie.naver.com/movie/bi/mi/basic.nhn?code=83893,https://ssl.pstatic.net/imgmovie/mdi/mit110/0838/83893_P09_112146.jpg,2012,['추창민'],"['이병헌', '류승룡', '한효주']",9.25
